Date,Close,High,Low,Open,Volume
2007-10-01,21.349035263061523,21.363378241614036,21.09086712040317,21.126723198962733,43875100
2007-10-02,21.29883575439453,21.406405355614364,21.20560776360144,21.29883575439453,33700900
2007-10-03,21.119556427001953,21.40640920443754,21.004815316027717,21.306009706468632,37633900
2007-10-04,21.30600929260254,21.349038234248496,21.11238452648336,21.198439674131457,37868000
2007-10-05,21.39923667907715,21.506806294435286,21.32035165616431,21.43509276158924,45012300
2007-10-08,21.39923667907715,21.40640816914394,21.227125020939756,21.270152593518638,30265400
2007-10-09,21.5856876373291,21.793655342523373,21.51397411670908,21.535488583241577,63603100
2007-10-10,21.67891502380371,21.7793145033532,21.535489345309948,21.54266083440789,32251500
2007-10-11,21.44944190979004,21.965777032681125,21.36338673988599,21.729123263711596,50788400
2007-10-12,21.635889053344727,21.800829211301682,21.47812038501483,21.5354909342095,31121100
2007-10-15,21.542659759521484,21.750627461698333,21.513973804561026,21.585687324140554,47150500
2007-10-16,21.74345588684082,21.929910489880466,21.678913856257033,21.686085344968745,56286200
2007-10-17,22.288476943969727,22.396046540090165,21.980109765355284,22.051823285376116,86092400
2007-10-18,22.345849990844727,22.396049050138906,21.965769249611704,22.388877560550913,49208600
2007-10-19,21.635889053344727,22.295651052994334,21.59286148340417,22.295651052994334,75200200
2007-10-22,21.87970733642578,22.015962860770546,21.60002616818984,21.60002616818984,58785100
2007-10-23,22.15939712524414,22.31716717306885,22.023141547892408,22.023141547892408,49956200
2007-10-24,22.4103946685791,22.44625075292005,21.872545196533203,22.123541890385678,77979200
2007-10-25,22.941072463989258,23.106014006955913,22.582506152202328,22.63987670737536,169588700
2007-10-26,25.121156692504883,25.838289366438964,24.784106195993814,25.823946384682998,288121200
2007-10-29,24.791271209716797,25.307607503941604,24.70521607256049,24.992067441629338,114655600
2007-10-30,25.508399963378906,25.522742940057668,24.633497535476042,24.647840512154804,107297300
2007-10-31,26.39765167236328,26.533905879887715,25.46537711509548,25.472549972969457,185635800
2007-11-01,26.57693862915039,26.885305906476205,26.074945196133196,26.196856441025478,152078800
2007-11-02,26.57693862915039,26.892476029734052,26.11797140696853,26.691679750784825,96389800
2007-11-05,26.340280532836914,26.60561883352183,26.26856836583358,26.361793635809153,75485400
2007-11-06,26.110797882080078,26.290081032255205,25.72354562114729,26.23988196905767,100966700
2007-11-07,25.472549438476562,25.93151384960599,25.42235037698701,25.845458706430144,74897800
2007-11-08,24.91318702697754,25.745060710154597,24.669361840409593,25.529918747690644,133742400
2007-11-09,24.18887710571289,24.76975537253471,24.131507932495218,24.511587253947233,125136900
2007-11-12,23.93788719177246,24.17453952958854,23.67971901550489,23.89485825051327,84865200
2007-11-13,24.794092178344727,24.94518726819135,24.017029755784733,24.13215021633763,104311500
2007-11-14,24.412771224975586,25.002764292297776,24.283260283886328,24.909228002691094,84063100
2007-11-15,24.29045295715332,24.535084418126864,24.139357781322854,24.29045295715332,64014100
2007-11-16,24.527883529663086,24.650197852616532,24.254471329658433,24.362397992596577,71113800
2007-11-19,24.43433952331543,24.635802380603614,24.369584095024262,24.434339523315433,63026200
2007-11-20,24.88043212890625,25.161038052291385,24.53506803661438,24.628604259305426,100009400
2007-11-21,24.62860870361328,24.98836051537162,24.592634071375148,24.750925746849138,89518700
2007-11-23,24.542278289794922,24.779713147830847,24.25447563401064,24.722154263487713,33467200
2007-11-26,23.722036361694336,24.72933983094885,23.693255556795705,24.52787968603567,80335000
2007-11-27,23.786787033081055,24.17531684258988,23.513374930717895,23.937882111483823,84178400
2007-11-28,24.247272491455078,24.383977190876962,23.671670145614915,24.01703155311901,88585000
2007-11-29,24.168132781982422,24.412764184075623,23.966672596031263,24.160938951636673,53633600
2007-11-30,24.17531967163086,24.549461870045345,23.88032330774287,24.40556060224156,71027800
2007-12-03,23.686058044433594,24.204101533321904,23.513378711263165,24.103371464857737,61770600
2007-12-04,23.57813835144043,23.916305994171076,23.477408265015725,23.556554117117706,54801500
2007-12-05,24.571043014526367,24.837258512753507,23.765197203895866,23.844343019644196,84894700
2007-12-06,24.858842849731445,24.902014043431777,24.369580299878713,24.650186197211475,49209700
2007-12-07,24.84446144104004,24.966778495103785,24.621417054605924,24.90202305346739,40771000
2007-12-10,25.009946823120117,25.146654279543945,24.8012928409326,24.923607149639462,36083500
2007-12-11,24.53507423400879,25.175434810672726,24.41275992663766,24.988362318037378,55070700
2007-12-12,24.80129051208496,25.24738198531708,24.412757900872236,24.902020579135264,63345400
2007-12-13,25.34092140197754,25.50640692498415,24.66458616178054,24.808487451908977,73913200
2007-12-14,25.40566635131836,25.787002279659827,25.18981313294093,25.21859392801628,71126200
2007-12-17,24.743728637695312,25.276162515229288,24.7221444077576,25.204210507622832,58121200
2007-12-18,24.995555877685547,25.18262560307407,24.614217109308044,24.923603872006595,52791800
2007-12-19,25.031536102294922,25.28336131672888,24.736539674805574,24.959584080535944,58469100
