Date,Close,High,Low,Open,Volume
2007-10-01,14.50896167755127,14.553792244350358,14.18667951363343,14.195645057511317,188263548
2007-10-02,14.554788589477539,14.864120728992662,14.445700530777009,14.52963362384735,282417300
2007-10-03,14.545573234558105,14.669354874379845,14.454418162760538,14.601113856552882,155024820
2007-10-04,14.421292304992676,14.57222304549684,14.372227641652936,14.57222304549684,119348532
2007-10-05,14.795380592346191,14.843947912460747,14.620043739762215,14.622533325079011,202545252
2007-10-08,15.18316650390625,15.199106303083,14.792890097851314,14.819040708004808,200918880
2007-10-09,15.321642875671387,15.535834523072054,15.152531418304584,15.319899311811437,350361288
2007-10-10,15.575932502746582,15.5831554318757,15.36199048090595,15.475562261948271,215208576
2007-10-11,15.491501808166504,15.974924569051069,15.167723812022968,15.781407019743584,471488040
2007-10-12,15.87480354309082,15.899958507958436,15.397853905666349,15.540814744752115,272675052
2007-10-15,15.444429397583008,15.936322283612755,15.330858560436553,15.9017034755691,277474248
2007-10-16,15.34206485748291,15.58913268754041,15.242192915975272,15.404081437902864,240770988
2007-10-17,15.777421951293945,15.790372919569942,15.481289448249045,15.70195705304138,240978780
2007-10-18,15.93034553527832,15.97392988487353,15.653389393222941,15.825489676795506,491076432
2007-10-19,16.05711555480957,16.400319518926292,16.02025488945255,16.302438867581973,630928440
2007-10-22,16.20754623413086,16.31339773474407,15.847158150540459,15.906683247030518,266309424
2007-10-23,16.8306941986084,16.876271733965357,16.437928221594547,16.469059899222792,271476252
2007-10-24,16.831939697265625,16.873035410573276,16.426969717395842,16.754482563642576,295871832
2007-10-25,16.64987564086914,16.910392725519323,16.526341730553707,16.903169796854044,231588180
2007-10-26,16.80155372619629,16.849870469290703,16.638668613451138,16.787358440577304,134021844
2007-10-29,16.916868209838867,16.936046462231815,16.739039890931732,16.880504891731448,122529348
2007-10-30,17.303909301757812,17.4319250544689,16.874032032092423,16.874032032092423,275747976
2007-10-31,17.608509063720703,17.608509063720703,17.335539280853247,17.45135102838251,274796928
2007-11-01,17.514114379882812,17.775874842486523,17.47849708282976,17.503652997158337,260826912
2007-11-02,17.714357376098633,17.77238758250485,17.367914955753175,17.695927043288755,233426340
2007-11-05,18.073001861572266,18.187070985766525,17.585343115187474,17.608257168841913,354992652
2007-11-06,18.47498321533203,18.47498321533203,18.056812667913235,18.369630965065582,337114548
2007-11-07,18.25457000732422,18.61072403331544,18.010491931916878,18.458548958730713,330609060
2007-11-08,17.280746459960938,18.303135555019555,16.865812400142804,18.29591262527777,659827512
2007-11-09,16.53680419921875,16.98286990326732,16.468063933776246,16.830943514102806,455068476
2007-11-12,15.742304801940918,16.685243491245274,15.596356074496375,16.381641284409472,408682908
2007-11-13,16.451623916625977,16.460840031974566,15.742303842919105,16.064087689922435,337478184
2007-11-14,15.981651306152344,16.823721501995955,15.846910925140532,16.768679172231884,323464212
