Date,Close,High,Low,Open,Volume
2016-01-04,37.79132080078125,37.92866465168549,37.1991507297773,37.92866465168549,67382000
2016-01-05,37.89532470703125,38.27699909063224,37.60272489061331,38.02321516266709,45216000
2016-01-06,37.78584671020508,38.10432377893044,37.22204442360193,37.339980332608015,48206000
2016-01-07,36.87370681762695,37.58580218254228,36.5890683699835,37.146902475450105,63132000
2016-01-08,36.371612548828125,37.32754115646832,36.27258343396732,37.212091978665754,47506000
2016-01-11,36.479095458984375,36.57911926593462,35.80681064583871,36.423362160342094,50896000
2016-01-12,37.08967208862305,37.23895986769762,36.6462924721431,36.86126429235926,46816000
2016-01-13,35.807308197021484,37.47085605384432,35.668472297182255,37.28872434056292,51728000
2016-01-14,36.39550018310547,36.818477249326364,35.08227847044925,36.049653759974966,55558000
2016-01-15,35.35546875,36.03571490352117,34.90860388041495,35.33058618663917,76676000
2016-01-19,35.782920837402344,36.09493237923126,35.32361849605535,35.83616739537845,48724000
2016-01-20,35.757049560546875,36.17455195568186,34.225370939360374,35.12705826805618,82440000
2016-01-21,36.16061782836914,36.70800005874484,35.386319829904295,35.837163484246084,51938000
2016-01-22,37.09564971923828,37.24991479358121,36.848832434073316,36.92347253846093,47146000
2016-01-25,36.50646209716797,37.443981154563524,36.45072880259209,37.015032206718786,45340000
2016-01-26,36.514923095703125,36.79707481549345,36.17554603518242,36.58558820994809,30940000
2016-01-27,35.70828628540039,36.61942710004441,35.50276782762211,36.61942710004441,42428000
2016-01-28,37.23697280883789,37.37929013849401,36.356181690938946,36.73387728992281,62104000
2016-01-29,37.8863639831543,38.073469146960235,37.0329422623424,37.269812547735256,75808000
2016-02-01,38.35512924194336,38.6945063133027,37.88786171152425,38.37951066235783,111522000
2016-02-02,38.859718322753906,40.324714483926286,38.84428915794707,39.83455755687117,135846000
2016-02-03,37.29071807861328,39.38321115140419,36.637837399879935,39.126936682605766,131114000
2016-02-04,36.327816009521484,37.08469921502669,35.95808558154745,37.052352643175105,104922000
2016-02-05,35.02056884765625,36.16310527115123,34.84043032142689,36.10239849669483,109556000
2016-02-08,35.04047393798828,35.05838983961501,33.93824165577193,34.22039337797896,89410000
2016-02-09,34.88421630859375,35.876473946012965,34.26119553702461,34.482636668414315,84300000
2016-02-10,35.17433166503906,35.98893758455886,35.101680958372405,35.42015802669594,60314000
2016-02-11,35.14995193481445,35.446534335880614,34.39506185303676,34.6513363219466,65004000
2016-02-12,35.176326751708984,35.62965716291255,34.91208712706895,35.44105992737206,46538000
2016-02-16,35.71126937866211,35.97202378586061,35.34004306120092,35.761528061322686,43444000
2016-02-17,36.42435836791992,36.513432939244304,35.66001487007434,36.17703994665215,49154000
2016-02-18,35.70479965209961,36.62490028058131,35.60726637345658,36.52338822124471,47276000
2016-02-19,35.93370056152344,36.02924443847554,35.48633835867938,35.62467690228506,34918000
2016-02-22,36.279052734375,36.56767378049238,36.00038623276999,36.30194211227931,37516000
2016-02-23,35.69384765625,36.37110973100749,35.61323559141794,36.132253825254935,41332000
2016-02-24,35.87348937988281,35.88941589131036,34.93398466059947,35.361437800439006,37092000
2016-02-25,36.28253936767578,36.3019435167876,35.491817443959334,35.974510364733455,36146000
2016-02-26,36.07054901123047,36.63285926807521,35.92524379784174,36.50546995628764,42474000
2016-02-29,35.690364837646484,36.35618029984889,35.67145424190692,35.87846471034607,45068000
2016-03-01,36.93193054199219,36.939891899054004,35.761026385814226,35.893392963763745,60112000
2016-03-02,36.79806900024414,36.97920221648382,36.48805063571471,36.96676473133603,36292000
2016-03-03,36.40544891357422,36.87371116306586,36.30791563383755,36.79807256702875,40534000
2016-03-04,36.33727264404297,36.575133839856065,36.10836370354059,36.56518309296489,48516000
2016-03-07,35.470420837402344,36.18749357050073,35.08924376539276,36.084983016608525,61690000
2016-03-08,35.506744384765625,35.94067065267356,35.0325139805428,35.250967258948876,52530000
2016-03-09,36.09791564941406,36.13921827266852,35.46344828197079,35.5883508467698,39544000
