Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,39.91314865336144,40.56325422736183,39.810501091804994,39.998687744140625,27913900,0.0,0.0
2015-01-05 00:00:00-05:00,39.66509977276096,39.9730458684429,39.562452161903224,39.63088607788086,39673900,0.0,0.0
2015-01-06 00:00:00-05:00,39.67364662264987,39.99014525430785,38.955106983812854,39.04920196533203,36447900,0.0,0.0
2015-01-07 00:00:00-05:00,39.33149420485003,39.74208792824616,38.912347873159945,39.545345306396484,29114100,0.0,0.0
2015-01-08 00:00:00-05:00,39.99013591351899,40.84553989027876,39.96447483841051,40.708675384521484,29645200,0.0,0.0
2015-01-09 00:00:00-05:00,40.72580290719267,40.90543704319949,40.118466582726555,40.36653137207031,23944200,0.0,0.0
2015-01-12 00:00:00-05:00,40.56326668142766,40.66591753760797,39.65654029359202,39.86183547973633,23651900,0.0,0.0
2015-01-13 00:00:00-05:00,40.17834473985635,40.98242368167801,39.39992688521885,39.65654754638672,35270600,0.0,0.0
2015-01-14 00:00:00-05:00,39.31438064575195,39.553896067452705,39.02354305470052,39.31438064575195,29719600,0.0,0.0
2015-01-15 00:00:00-05:00,39.53677854593511,39.6736430714099,38.84390005022088,38.903778076171875,32750800,0.0,0.0
2015-01-16 00:00:00-05:00,38.75837156564057,39.588111551078846,38.63861221781566,39.553897857666016,35695300,0.0,0.0
2015-01-20 00:00:00-05:00,39.60522248949155,39.90461598298834,38.98077767817599,39.68220901489258,36161900,0.0,0.0
2015-01-21 00:00:00-05:00,39.29726747202384,39.46834896333392,38.90378232618628,39.28015899658203,39081100,0.0,0.0
2015-01-22 00:00:00-05:00,39.67364390253114,40.32374959637853,39.41702331977843,40.3151969909668,35898000,0.0,0.0
2015-01-23 00:00:00-05:00,40.51194804066024,40.537609125383554,40.03292045947171,40.357975006103516,26211600,0.0,0.0
2015-01-26 00:00:00-05:00,40.20399469658874,40.31519814878141,39.55388898407092,40.212547302246094,42525500,0.0,0.0
2015-01-27 00:00:00-05:00,36.73961465640579,36.95346572744062,36.021074927204424,36.491546630859375,169164000,0.0,0.0
2015-01-28 00:00:00-05:00,36.5599795570565,36.60274911749204,35.20843925815721,35.234100341796875,84507100,0.0,0.0
2015-01-29 00:00:00-05:00,35.01170042655807,36.02963043182811,34.891944339244965,35.9355354309082,63585300,0.0,0.0
2015-01-30 00:00:00-05:00,35.542055165084,35.5677195181626,34.51556914588584,34.55834197998047,78004900,0.0,0.0
2015-02-02 00:00:00-05:00,34.72086076802237,35.38807507975889,34.412914697033685,35.31108856201172,50352500,0.0,0.0
2015-02-03 00:00:00-05:00,35.61048796066374,35.86710864155378,35.11435181624853,35.58482360839844,52082400,0.0,0.0
2015-02-04 00:00:00-05:00,35.87565830337666,36.10661787613917,35.37952546282325,35.79011917114258,41614800,0.0,0.0
2015-02-05 00:00:00-05:00,36.115162354663816,36.47443051244595,35.80721635478901,36.31190490722656,36548200,0.0,0.0
2015-02-06 00:00:00-05:00,36.508658083962004,36.60275308498442,36.05529482060888,36.2776985168457,34616600,0.0,0.0
2015-02-09 00:00:00-05:00,36.13227291685338,36.55997499404427,36.10660857330856,36.234920501708984,31381100,0.0,0.0
2015-02-10 00:00:00-05:00,36.55997538836889,36.58563646908259,36.08094788202961,36.440216064453125,29670700,0.0,0.0
2015-02-11 00:00:00-05:00,36.48299277402143,36.48299277402143,36.106612813504064,36.25203323364258,38262500,0.0,0.0
2015-02-12 00:00:00-05:00,36.491550854201364,36.859375,36.36323889148696,36.859375,33268800,0.0,0.0
2015-02-13 00:00:00-05:00,37.10743081371499,37.52657699584961,36.910688262064994,37.52657699584961,40264900,0.0,0.0
2015-02-17 00:00:00-05:00,37.879800750266554,37.905644456224465,37.20783481838304,37.543819427490234,33695700,0.31,0.0
2015-02-18 00:00:00-05:00,37.58688356315038,37.647187718878136,37.38012411041948,37.500732421875,27111700,0.0,0.0
2015-02-19 00:00:00-05:00,37.19920698827903,37.50072772918676,37.08721216180062,37.474884033203125,27603400,0.0,0.0
2015-02-20 00:00:00-05:00,37.48350248299636,37.80225677868106,37.29397654338739,37.78502655029297,29721100,0.0,0.0
2015-02-23 00:00:00-05:00,37.647209448125764,38.06933878186505,37.604135495791624,38.034881591796875,32518800,0.0,0.0
2015-02-24 00:00:00-05:00,38.0348678810253,38.16408969144598,37.836721856318285,37.983177185058594,25271700,0.0,0.0
2015-02-25 00:00:00-05:00,37.862557978531704,37.98316628150113,37.733332918876016,37.89701843261719,29759800,0.0,0.0
2015-02-26 00:00:00-05:00,37.89702844366904,38.10378465014007,37.810877285697245,37.957332611083984,28957300,0.0,0.0
2015-02-27 00:00:00-05:00,38.017629056162484,38.07793321132813,37.61272691176745,37.77640914916992,33807700,0.0,0.0
2015-03-02 00:00:00-05:00,37.621337982857874,38.06931402574857,37.517959907215335,37.80225372314453,31924000,0.0,0.0
2015-03-03 00:00:00-05:00,37.52657833127871,37.75918147655689,37.12167619472076,37.28535842895508,31748600,0.0,0.0
2015-03-04 00:00:00-05:00,37.052767042560674,37.22506608852041,36.94077545606816,37.09584426879883,25748700,0.0,0.0
2015-03-05 00:00:00-05:00,37.10444030657104,37.25089557703214,36.88906742190958,37.13890075683594,23193500,0.0,0.0
2015-03-06 00:00:00-05:00,37.04414827609186,37.138912902145904,36.311881543305965,36.492794036865234,36248800,0.0,0.0
2015-03-09 00:00:00-04:00,36.34633261763288,37.15613689610729,36.34633261763288,36.9149169921875,32108000,0.0,0.0
2015-03-10 00:00:00-04:00,36.48418471363694,36.794322357989266,36.2085075378418,36.2085075378418,39159700,0.0,0.0
2015-03-11 00:00:00-04:00,36.44972589969159,36.50141331388235,36.04482362809857,36.16543197631836,32215300,0.0,0.0
2015-03-12 00:00:00-04:00,35.605461650661994,35.881138794564905,35.20055940778487,35.33839797973633,59992500,0.0,0.0
2015-03-13 00:00:00-04:00,35.06272191177608,35.72607108662651,34.985187507278475,35.648536682128906,58007700,0.0,0.0
2015-03-16 00:00:00-04:00,35.72607353087161,35.872525590314076,35.56238795110519,35.80360794067383,35273500,0.0,0.0
2015-03-17 00:00:00-04:00,35.6399081473263,36.03619679845518,35.450382221652276,35.92420196533203,31673400,0.0,0.0
2015-03-18 00:00:00-04:00,35.691599874076545,36.897689517250505,35.60545202227693,36.61339569091797,44194800,0.0,0.0
2015-03-19 00:00:00-04:00,36.40663668817779,36.69093051796528,36.372179518837136,36.4324836730957,33879100,0.0,0.0
2015-03-20 00:00:00-04:00,36.665084510814836,37.02690941358449,36.604780360353224,36.94076156616211,71904500,0.0,0.0
2015-03-23 00:00:00-04:00,36.94076462148606,37.15613754418495,36.854613480608506,36.92353439331055,26246100,0.0,0.0
2015-03-24 00:00:00-04:00,36.854622603159875,37.19060391992213,36.82877889766457,36.958003997802734,25513300,0.0,0.0
2015-03-25 00:00:00-04:00,36.975226425715476,36.98384318404819,35.7002189578974,35.71744918823242,43469900,0.0,0.0
2015-03-26 00:00:00-04:00,35.51069958463829,35.846680922674786,35.25224936799696,35.50208282470703,37495600,0.0,0.0
2015-03-27 00:00:00-04:00,35.4245403962472,35.6916040260209,35.17471028243404,35.295318603515625,34401400,0.0,0.0
2015-03-30 00:00:00-04:00,35.40730186580448,35.786360256144114,35.24361965218568,35.28669357299805,35049700,0.0,0.0
2015-03-31 00:00:00-04:00,35.131633555540695,35.34700649942965,34.924877369752274,35.028255462646484,34887200,0.0,0.0
2015-04-01 00:00:00-04:00,34.97656323591449,35.1144017824926,34.72673312959366,35.0799446105957,36865300,0.0,0.0
2015-04-02 00:00:00-04:00,35.02825804884249,35.09717897341405,34.56305166697609,34.70950698852539,37487500,0.0,0.0
2015-04-06 00:00:00-04:00,34.75257493831062,35.9931217899833,34.61473639923588,35.794979095458984,39223700,0.0,0.0
2015-04-07 00:00:00-04:00,35.846676663241205,36.105123562841904,35.58822976364051,35.77775573730469,28809400,0.0,0.0
2015-04-08 00:00:00-04:00,35.71746294586734,35.91560574154505,35.35563782845545,35.68300247192383,24753400,0.0,0.0
2015-04-09 00:00:00-04:00,35.53652986513463,35.85528084920714,35.53652986513463,35.73467254638672,25723900,0.0,0.0
2015-04-10 00:00:00-04:00,35.863909991763876,36.13958714665488,35.674380715402215,35.941444396972656,28022000,0.0,0.0
2015-04-13 00:00:00-04:00,35.66576443260162,36.234348930566895,35.657147673628906,35.97589874267578,30276700,0.0,0.0
2015-04-14 00:00:00-04:00,36.01035200026359,36.20849469468944,35.657140538664464,35.88113021850586,24244400,0.0,0.0
2015-04-15 00:00:00-04:00,35.975885694576164,36.57893043705261,35.90696807944342,36.40663146972656,27343600,0.0,0.0
2015-04-16 00:00:00-04:00,36.13958690466721,36.475568229545246,36.02759203426424,36.320499420166016,22509700,0.0,0.0
2015-04-17 00:00:00-04:00,35.898355755400786,35.95866319479016,35.45899645649157,35.855281829833984,42387600,0.0,0.0
2015-04-20 00:00:00-04:00,35.95006058123376,37.19060787179112,35.90698663872094,36.96662139892578,46057700,0.0,0.0
2015-04-21 00:00:00-04:00,37.044146354119135,37.17337143500284,36.639244167925156,36.7340087890625,26013800,0.0,0.0
2015-04-22 00:00:00-04:00,36.759861078380005,37.15614988538176,36.656482961320506,37.03554153442383,25064300,0.0,0.0
2015-04-23 00:00:00-04:00,36.94937945913787,37.56965455107977,36.87184507264514,37.33705139160156,46309500,0.0,0.0
2015-04-24 00:00:00-04:00,39.335712803765546,41.47221192932144,39.32709933233182,41.23960876464844,130933700,0.0,0.0
2015-04-27 00:00:00-04:00,40.688256270678316,41.46360018522176,40.67964279888576,41.37744903564453,59248200,0.0,0.0
2015-04-28 00:00:00-04:00,41.16207357412703,42.394007003940644,41.0931559450099,42.35093307495117,60730800,0.0,0.0
2015-04-29 00:00:00-04:00,41.97187465654159,42.48015486654364,41.7823454400334,42.2647819519043,47804600,0.0,0.0
2015-04-30 00:00:00-04:00,41.954644784592794,42.67829791536744,41.86849364620897,41.9029541015625,64725500,0.0,0.0
2015-05-01 00:00:00-04:00,41.85127127191075,42.10971814260562,41.696202492227776,41.920188903808594,38937300,0.0,0.0
2015-05-04 00:00:00-04:00,41.67035260830777,42.1010984583024,41.506670368388626,41.5583610534668,34039500,0.0,0.0
2015-05-05 00:00:00-04:00,41.19652534597465,41.48943260220866,40.75716610478835,41.006996154785156,50369200,0.0,0.0
2015-05-06 00:00:00-04:00,40.981175667836794,41.15347473137063,39.64586367652932,39.869850158691406,52433000,0.0,0.0
2015-05-07 00:00:00-04:00,39.86121349992739,40.56763629184199,39.76644890578505,40.23165512084961,32971700,0.0,0.0
2015-05-08 00:00:00-04:00,40.96393146397088,41.33437317403043,40.93808776346957,41.13623046875,35364900,0.0,0.0
2015-05-11 00:00:00-04:00,40.96394103479891,41.27407865859595,40.80887222290039,40.80887222290039,24609400,0.0,0.0
2015-05-12 00:00:00-04:00,40.360880176234154,41.07591978221745,39.990438525045406,40.7916259765625,29928300,0.0,0.0
2015-05-13 00:00:00-04:00,41.51527772110135,41.627272545767156,40.98115386599677,41.03284454345703,34184600,0.0,0.0
2015-05-14 00:00:00-04:00,41.37746545937292,42.05804502268525,41.37746545937292,41.97189712524414,32980900,0.0,0.0
2015-05-15 00:00:00-04:00,42.10110408786163,42.135564549188295,41.39468106231732,41.61005401611328,28642700,0.0,0.0
2015-05-18 00:00:00-04:00,41.33438197148845,41.54114147849537,41.01563088091987,41.360225677490234,24136500,0.0,0.0
2015-05-19 00:00:00-04:00,41.23882997131857,41.45560262050145,40.909334618407925,41.25617218017578,28574800,0.31,0.0
2015-05-20 00:00:00-04:00,41.09142284987639,41.55965256595656,40.987372904421285,41.25617218017578,25047900,0.0,0.0
2015-05-21 00:00:00-04:00,40.99604329821704,41.2735120309399,40.76192843479058,41.117435455322266,22410700,0.0,0.0
2015-05-22 00:00:00-04:00,41.01338393134799,41.056737798978325,40.59718084825818,40.66654968261719,25720600,0.0,0.0
2015-05-26 00:00:00-04:00,40.60586172086193,40.64921559715588,40.05092085815761,40.39775848388672,29581900,0.0,0.0
2015-05-27 00:00:00-04:00,40.59718597433544,41.420922794074826,40.42376717422896,41.282188415527344,27335600,0.0,0.0
2015-05-28 00:00:00-04:00,41.186809380022865,41.63769695331628,41.09142887117579,41.143455505371094,19283700,0.0,0.0
2015-05-29 00:00:00-04:00,41.12611555964603,41.24750773843405,40.39775917922914,40.631874084472656,36519600,0.0,0.0
2015-06-01 00:00:00-04:00,40.80527870292907,41.420912142692934,40.42375677926544,40.95268249511719,28837300,0.0,0.0
2015-06-02 00:00:00-04:00,40.69255642408302,41.05673283739393,40.42375718495759,40.68388366699219,21498300,0.0,0.0
2015-06-03 00:00:00-04:00,41.07408318332428,41.394909105508106,40.597183987141605,40.62319564819336,28002200,0.0,0.0
2015-06-04 00:00:00-04:00,40.57117538322223,40.891998021892455,40.05959172862932,40.198326110839844,27745500,0.0,0.0
2015-06-05 00:00:00-04:00,40.15496785557145,40.337056092164815,39.74743420517734,40.00756072998047,25438100,0.0,0.0
2015-06-08 00:00:00-04:00,40.14629908624848,40.25902180434971,39.600031014499464,39.65205764770508,22121600,0.0,0.0
2015-06-09 00:00:00-04:00,39.67806074197984,39.83413730020337,39.41793424750323,39.58268356323242,24406100,0.0,0.0
2015-06-10 00:00:00-04:00,39.70407470959861,40.60584962164379,39.61736367515902,40.41508865356445,28417400,0.0,0.0
2015-06-11 00:00:00-04:00,40.45843442234508,40.68387645140788,39.9988776086668,40.26767349243164,27347800,0.0,0.0
2015-06-12 00:00:00-04:00,40.07692199788626,40.2936946122276,39.79945331614436,39.86014938354492,23931000,0.0,0.0
2015-06-15 00:00:00-04:00,39.409264374632066,39.582683138317456,39.036415190399204,39.43527603149414,33254500,0.0,0.0
2015-06-16 00:00:00-04:00,39.32255929756416,40.0942727475189,39.279205426995276,39.738765716552734,27070300,0.0,0.0
2015-06-17 00:00:00-04:00,39.652046218394695,39.946857106206416,39.33122367532205,39.86014938354492,28704100,0.0,0.0
2015-06-18 00:00:00-04:00,40.076922297374395,40.57983304640691,40.03356512803205,40.510467529296875,32658300,0.0,0.0
2015-06-19 00:00:00-04:00,40.57116829398042,40.60585271039458,39.877496504137206,39.97287368774414,63837000,0.0,0.0
2015-06-22 00:00:00-04:00,40.17230139055192,40.51046613054524,40.024894296790414,40.08559036254883,20318100,0.0,0.0
2015-06-23 00:00:00-04:00,39.998900841741005,40.12896248139246,39.55668266693462,39.80813980102539,25896500,0.0,0.0
2015-06-24 00:00:00-04:00,39.60002441477109,40.10293852887752,39.495974473389346,39.574012756347656,34890900,0.0,0.0
2015-06-25 00:00:00-04:00,39.91217557931514,39.938190544144284,39.4526186621502,39.58268356323242,20616000,0.0,0.0
2015-06-26 00:00:00-04:00,39.58268638541637,40.128951070458726,39.04508784312189,39.2445182800293,49835300,0.0,0.0
2015-06-29 00:00:00-04:00,39.05376125750326,39.218507280059136,38.464139387309004,38.472808837890625,34081700,0.0,0.0
2015-06-30 00:00:00-04:00,38.76762356571335,38.77629632483158,38.099963344213236,38.28205490112305,35945400,0.0,0.0
2015-07-01 00:00:00-04:00,38.550844743014956,39.2185048579623,38.23869161834473,38.54217529296875,28343900,0.0,0.0
2015-07-02 00:00:00-04:00,38.56819060324461,38.80230546891821,38.20401412843338,38.49882507324219,21752000,0.0,0.0
2015-07-06 00:00:00-04:00,38.117289903106055,38.56817726914621,38.108620455236114,38.49013900756836,23034000,0.0,0.0
2015-07-07 00:00:00-04:00,38.44679378964557,38.576858690722524,37.56236106231065,38.412109375,36435800,0.0,0.0
2015-07-08 00:00:00-04:00,38.53350764852522,38.93237186502533,38.1780006110733,38.36009216308594,39785900,0.0,0.0
2015-07-09 00:00:00-04:00,38.802289863693126,39.20982335200625,38.585517294622214,38.60285949707031,32424700,0.0,0.0
2015-07-10 00:00:00-04:00,39.027746271618646,39.14046897525433,38.64622760013619,38.680912017822266,25465800,0.0,0.0
