date,portfolio_value,cash,MSFT,NVDA,AAPL,AMZN,GOOGL,META
2019-01-02 00:00:00-05:00,100000.0,100000.0,0,0,0,0,0,0
2019-01-03 00:00:00-05:00,94450.73493123055,13.266476392745972,263,7401,664,324,2,0
2019-01-04 00:00:00-05:00,99257.14806747437,0.5716578960418701,263,7405,664,324,2,0
2019-01-07 00:00:00-05:00,101437.47022080421,0.5716578960418701,263,7405,664,324,2,0
2019-01-08 00:00:00-05:00,101850.206854105,0.5716578960418701,263,7405,664,324,2,0
2019-01-09 00:00:00-05:00,103168.71982097626,0.5716578960418701,263,7405,664,324,2,0
2019-01-10 00:00:00-05:00,103515.23094272614,0.5716578960418701,263,7405,664,324,2,0
2019-01-11 00:00:00-05:00,103515.23094272614,103515.23094272614,0,0,0,0,0,0
2019-01-14 00:00:00-05:00,103515.23094272614,103515.23094272614,0,0,0,0,0,0
2019-01-15 00:00:00-05:00,103515.23094272614,103515.23094272614,0,0,0,0,0,0
2019-01-16 00:00:00-05:00,103614.10106873512,26040.897235155106,131,3481,354,154,239,87
2019-01-17 00:00:00-05:00,104548.89386820793,0.6334726810455322,327,5282,354,154,239,87
2019-01-18 00:00:00-05:00,105311.920317173,52123.79414606094,164,2641,177,77,120,44
2019-01-22 00:00:00-05:00,103790.64644742012,52123.79414606094,164,2641,177,77,120,44
2019-01-23 00:00:00-05:00,103930.97971487045,52123.79414606094,164,2641,177,77,120,44
2019-01-24 00:00:00-05:00,105500.95614743233,23.435421466827393,341,8339,539,77,120,44
2019-01-25 00:00:00-05:00,107243.1888115406,3.866023302078247,341,8344,539,77,120,44
2019-01-28 00:00:00-05:00,107243.1888115406,107243.1888115406,0,0,0,0,0,0
2019-01-29 00:00:00-05:00,107243.1888115406,107243.1888115406,0,0,0,0,0,0
2019-01-30 00:00:00-05:00,112435.374573946,41.78890919685364,277,8216,727,336,1,0
2019-01-31 00:00:00-05:00,114242.82809758186,41.78890919685364,277,8216,727,336,1,0
2019-02-01 00:00:00-05:00,112914.86347079277,28523.79316163063,208,6162,546,252,1,0
2019-02-04 00:00:00-05:00,114878.42596507072,28523.79316163063,208,6162,546,252,1,0
2019-02-05 00:00:00-05:00,115988.02893280983,28523.79316163063,208,6162,546,252,1,0
2019-02-06 00:00:00-05:00,115994.27777075768,28523.79316163063,208,6162,546,252,1,0
2019-02-07 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-08 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-11 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-12 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-13 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-14 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-15 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-19 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-20 00:00:00-05:00,115994.27777075768,115994.27777075768,0,0,0,0,0,0
2019-02-21 00:00:00-05:00,115885.84520959854,18.790162086486816,287,7375,704,357,1,0
2019-02-22 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-02-25 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-02-26 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-02-27 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-02-28 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-01 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-04 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-05 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-06 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-07 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-08 00:00:00-05:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-11 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-12 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-13 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-14 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-15 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-18 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-19 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-20 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-21 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-22 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-25 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-26 00:00:00-04:00,115885.84520959854,115885.84520959854,0,0,0,0,0,0
2019-03-27 00:00:00-04:00,115401.16783618927,29222.06795167923,130,3299,324,162,244,86
2019-03-28 00:00:00-04:00,115401.16783618927,115401.16783618927,0,0,0,0,0,0
2019-03-29 00:00:00-04:00,115401.16783618927,115401.16783618927,0,0,0,0,0,0
2019-04-01 00:00:00-04:00,115401.16783618927,115401.16783618927,0,0,0,0,0,0
2019-04-02 00:00:00-04:00,115971.95854282379,41.15945911407471,257,6376,630,318,0,0
2019-04-03 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-04 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-05 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-08 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-09 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-10 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-11 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-12 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-15 00:00:00-04:00,115971.95854282379,115971.95854282379,0,0,0,0,0,0
2019-04-16 00:00:00-04:00,116743.95933389664,47.932058334350586,254,6323,608,314,0,0
2019-04-17 00:00:00-04:00,117431.3943142891,47.932058334350586,254,6323,608,314,0,0
2019-04-18 00:00:00-04:00,117645.7002735138,29286.27899169922,191,4743,456,236,0,0
2019-04-22 00:00:00-04:00,117996.46874809265,73405.5116519928,96,2372,228,118,0,0
2019-04-23 00:00:00-04:00,118654.09839057922,73405.5116519928,96,2372,228,118,0,0
2019-04-24 00:00:00-04:00,118497.24548339844,73405.5116519928,96,2372,228,118,0,0
2019-04-25 00:00:00-04:00,118521.59320449829,73405.5116519928,96,2372,228,118,0,0
2019-04-26 00:00:00-04:00,118301.26753234863,73405.5116519928,96,2372,228,118,0,0
2019-04-29 00:00:00-04:00,118306.2709183693,84580.68487119675,72,1779,171,89,0,0
2019-04-30 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-01 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-02 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-03 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-06 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-07 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-08 00:00:00-04:00,118306.2709183693,118306.2709183693,0,0,0,0,0,0
2019-05-09 00:00:00-04:00,117076.07837820053,50.245054721832275,249,6851,609,308,2,0
2019-05-10 00:00:00-04:00,117076.07837820053,117076.07837820053,0,0,0,0,0,0
2019-05-13 00:00:00-04:00,117076.07837820053,117076.07837820053,0,0,0,0,0,0
2019-05-14 00:00:00-04:00,117076.07837820053,117076.07837820053,0,0,0,0,0,0
2019-05-15 00:00:00-04:00,117076.07837820053,117076.07837820053,0,0,0,0,0,0
2019-05-16 00:00:00-04:00,117076.07837820053,117076.07837820053,0,0,0,0,0,0
2019-05-17 00:00:00-04:00,115454.18266057968,24.102113246917725,239,7360,641,306,3,0
2019-05-20 00:00:00-04:00,115454.18266057968,115454.18266057968,0,0,0,0,0,0
2019-05-21 00:00:00-04:00,115454.18266057968,115454.18266057968,0,0,0,0,0,0
2019-05-22 00:00:00-04:00,115454.18266057968,115454.18266057968,0,0,0,0,0,0
2019-05-23 00:00:00-04:00,115454.18266057968,115454.18266057968,0,0,0,0,0,0
2019-05-24 00:00:00-04:00,115454.18266057968,115454.18266057968,0,0,0,0,0,0
2019-05-28 00:00:00-04:00,115162.65019798279,36.22513437271118,241,8011,671,316,2,0
2019-05-29 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-05-30 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-05-31 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-06-03 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-06-04 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-06-05 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-06-06 00:00:00-04:00,115162.65019798279,115162.65019798279,0,0,0,0,0,0
2019-06-07 00:00:00-04:00,117892.68012714386,49.40090727806091,237,8057,647,328,2,0
2019-06-10 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-11 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-12 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-13 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-14 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-17 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-18 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-19 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-20 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-21 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-24 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-25 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-26 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-06-27 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
